iter	Passed	Remaining
0	1	157
1	2	146
2	4	141
3	5	132
4	7	133
5	8	132
6	10	132
7	11	130
8	12	129
9	14	128
10	15	127
11	17	126
12	18	124
13	20	124
14	21	123
15	23	121
16	24	119
17	26	118
18	27	117
19	28	115
20	30	113
21	31	112
22	33	110
23	34	109
24	35	107
25	37	106
26	38	104
27	40	103
28	41	102
29	43	101
30	45	100
31	46	98
32	47	97
33	49	95
34	50	94
35	52	93
36	54	92
37	55	90
38	57	89
39	58	87
40	59	86
41	60	83
42	62	82
43	63	80
44	65	79
45	66	77
46	68	76
47	69	75
48	71	74
49	72	72
50	74	71
51	75	70
52	77	68
53	78	67
54	79	65
55	81	63
56	82	62
57	84	60
58	85	59
59	86	57
60	88	56
61	89	55
62	91	53
63	92	52
64	94	50
65	95	49
66	97	48
67	98	46
68	100	45
69	101	43
70	103	42
71	104	40
72	106	39
73	107	37
74	108	36
75	110	34
76	111	33
77	113	31
78	114	30
79	115	28
80	117	27
81	118	26
82	120	24
83	121	23
84	122	21
85	124	20
86	125	18
87	127	17
88	128	15
89	130	14
90	131	13
91	133	11
92	134	10
93	135	8
94	137	7
95	138	5
96	140	4
97	141	2
98	143	1
99	144	0
